epoch,split,snr,loss,acc,correct,total
8,val,-20,2.064856847127279,0.1918238993710692,61,318
8,val,30,0.46685431271042993,0.779874213836478,248,318
8,val,-10,2.140619830234901,0.15384615384615385,44,286
8,val,0,1.4535850892352522,0.36012861736334406,112,311
9,val,20,0.4464220700351243,0.8235294117647058,252,306
9,val,10,0.358003070613593,0.8947368421052632,272,304
9,val,-20,2.2644112319129066,0.1949685534591195,62,318
9,val,30,0.38488281320946355,0.839622641509434,267,318
9,val,-10,2.3368887592862535,0.15734265734265734,45,286
9,val,0,1.6610543474411275,0.3215434083601286,100,311
10,val,20,0.5443612976796549,0.7647058823529411,234,306
10,val,10,0.5401247388857117,0.7697368421052632,234,304
10,val,-20,2.2410884340229273,0.14779874213836477,47,318
10,val,30,0.5467478696230518,0.7610062893081762,242,318
10,val,-10,2.1993799380489163,0.17132867132867133,49,286
10,val,0,2.0856289203814753,0.2090032154340836,65,311
11,val,20,0.43691326714102924,0.8104575163398693,248,306
11,val,10,0.3690379742627939,0.8782894736842105,267,304
11,val,-20,2.02063025299858,0.15723270440251572,50,318
11,val,30,0.3873525303102987,0.8207547169811321,261,318
11,val,-10,2.0344495070980977,0.18181818181818182,52,286
11,val,0,1.6826030608637923,0.2540192926045016,79,311
12,val,20,0.4334836311200633,0.8529411764705882,261,306
12,val,10,0.3917381414616294,0.8421052631578947,256,304
12,val,-20,2.1268513104263342,0.18238993710691823,58,318
12,val,30,0.358816746102482,0.8553459119496856,272,318
12,val,-10,2.0938479714877123,0.17832167832167833,51,286
12,val,0,1.7098174598247675,0.3440514469453376,107,311
13,val,20,0.41430360768348024,0.8562091503267973,262,306
13,val,10,0.3459975657904962,0.8782894736842105,267,304
13,val,-20,2.1403503700059914,0.15723270440251572,50,318
13,val,30,0.35212866147198063,0.8773584905660378,279,318
13,val,-10,2.123994607921247,0.15384615384615385,44,286
13,val,0,1.4537353394882473,0.4212218649517685,131,311
14,val,20,0.4268505766940685,0.8169934640522876,250,306
14,val,10,0.37142187110313035,0.8519736842105263,259,304
14,val,-20,2.195087608020261,0.15723270440251572,50,318
14,val,30,0.36144273019368744,0.8427672955974843,268,318
14,val,-10,2.2133335453438594,0.14335664335664336,41,286
14,val,0,1.4226116357173566,0.42765273311897106,133,311
15,val,20,0.519857734550106,0.7222222222222222,221,306
15,val,10,0.38595055100133896,0.8421052631578947,256,304
15,val,-20,2.1197422688487193,0.14465408805031446,46,318
15,val,30,0.43585545763400096,0.7767295597484277,247,318
15,val,-10,2.059488540762788,0.16083916083916083,46,286
15,val,0,1.6507991181021717,0.2861736334405145,89,311
16,val,20,0.4430911466640395,0.8169934640522876,250,306
16,val,10,0.3174335353027537,0.9177631578947368,279,304
16,val,-20,2.1904096302558793,0.16981132075471697,54,318
16,val,30,0.3604554594893779,0.8333333333333334,265,318
16,val,-10,2.2124734687638448,0.13286713286713286,38,286
16,val,0,1.23083277985789,0.42443729903536975,132,311
17,val,20,0.45083269819550126,0.8464052287581699,259,306
17,val,10,0.3274457849617025,0.8881578947368421,270,304
17,val,-20,2.0215215214393423,0.17295597484276728,55,318
17,val,30,0.3776202995492706,0.8459119496855346,269,318
17,val,-10,2.015819399402692,0.17132867132867133,49,286
17,val,0,1.4154915920312,0.3504823151125402,109,311
18,val,20,0.45282796855401125,0.761437908496732,233,306
18,val,10,0.3310411919674152,0.875,266,304
18,val,-20,2.0639657372573637,0.16981132075471697,54,318
18,val,30,0.3746259440589448,0.7955974842767296,253,318
18,val,-10,2.0558624175878673,0.19230769230769232,55,286
18,val,0,1.502980028102444,0.35691318327974275,111,311
13,test,0,1.5257036865336224,0.3818770226537217,118,309
13,test,10,0.3879291030992121,0.8444444444444444,266,315
13,test,-20,2.0843053236359457,0.20655737704918034,63,305
13,test,-10,2.0334778441382304,0.19642857142857142,66,336
13,test,20,0.3536836405096183,0.8618421052631579,262,304
