run_dir,experiment_name,encoding_type,model_type,trainer,grid_size,sigma_delta_step,sigma_delta_edge_only,tf_events_threshold,seed,training_device,train_time_seconds,total_time_seconds,num_classes,val_loss,val_acc,test_loss,test_acc,run_name,run_datetime,run_date,run_time,per_snr_30,snr_list,snr_min,snr_max,num_snrs,per_snr_10,per_snr_0,per_snr_-4,per_snr_12,per_snr_8,per_snr_4,per_snr_2,per_snr_6,per_snr_-20,per_snr_-10,per_snr_20,per_snr_14,per_snr_16,per_snr_22,per_snr_-8,per_snr_-18,per_snr_-16,per_snr_-2,per_snr_26,per_snr_18,per_snr_24,per_snr_-14,per_snr_28,per_snr_-6,per_snr_-12
results/radioml2018_small_hrm_bptt_1_20251205_091230,radioml2018_small_hrm_bptt_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.03858054056763649,1.0,0.08640053868293762,0.9807692307692307,radioml2018_small_hrm_bptt_1_20251205_091230,2025-12-05 09:12:30,2025-12-05,09:12:30,0.9807692307692307,30,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_bptt_small_1_20251204_164040,radioml2018_iqgrid_hrm_bptt_small_1,iq_grid,hrm_rf,dcll,16,,,,42,,,,2,0.14105339295488115,0.9535452322738386,0.19899291643666653,0.9416058394160584,radioml2018_iqgrid_hrm_bptt_small_1_20251204_164040,2025-12-04 16:40:40,2025-12-04,16:40:40,,"0,10",0,10,2,1.0,0.88,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_dcll_small_20251204_143652,radioml2018_iqgrid_hrm_dcll_small,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.20955371073376577,0.9266503667481663,0.25298273350381795,0.9172749391727494,radioml2018_iqgrid_hrm_dcll_small_20251204_143652,2025-12-04 14:36:52,2025-12-04,14:36:52,,"0,10",0,10,2,1.0,0.83,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_small_hrm_bptt_1_20251205_095708,radioml2018_small_hrm_bptt_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,4,0.28501189396258964,0.8899755501222494,0.22788413151772352,0.8978102189781022,radioml2018_small_hrm_bptt_1_20251205_095708,2025-12-05 09:57:08,2025-12-05,09:57:08,0.8978102189781022,30,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_142410,radioml2018_iqgrid_conv2d_dcll_small,tf_events,conv2d_snn,dcll,16,,,,42,,,,2,0.2513451701961458,0.89599609375,0.25466394309478346,0.8916015625,radioml2018_iqgrid_conv2d_dcll_small_20251202_142410,2025-12-02 14:24:10,2025-12-02,14:24:10,,"-4,0,4,8,12",-4,12,5,,0.8888888888888888,0.6822429906542056,0.9627039627039627,0.979746835443038,0.9615384615384616,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_134559,radioml2018_iqgrid_conv2d_dcll_small,tf_events,conv2d_snn,dcll,16,,,,42,,,,2,0.2736808569461573,0.87451171875,0.2629005526541732,0.873046875,radioml2018_iqgrid_conv2d_dcll_small_20251202_134559,2025-12-02 13:45:59,2025-12-02,13:45:59,,"-4,0,4,8,12",-4,12,5,,0.8703703703703703,0.6355140186915887,0.9743589743589743,0.959493670886076,0.9423076923076923,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_conv2d_dcll_small_20251202_135722,radioml2018_iqgrid_conv2d_dcll_small,tf_events,conv2d_snn,dcll,16,,,,42,,,,2,0.27728000341448933,0.8759765625,0.2756961003469769,0.87255859375,radioml2018_iqgrid_conv2d_dcll_small_20251202_135722,2025-12-02 13:57:22,2025-12-02,13:57:22,,"-4,0,4,8,12",-4,12,5,,0.8425925925925926,0.6635514018691588,0.9696969696969697,0.9696202531645569,0.9340659340659341,,,,,,,,,,,,,,,,,,,
results/radioml2018_small_hrm_bptt_1_20251205_091133,radioml2018_small_hrm_bptt_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,2,0.8586261868476868,0.8431372549019608,0.7291586399078369,0.8653846153846154,radioml2018_small_hrm_bptt_1_20251205_091133,2025-12-05 09:11:33,2025-12-05,09:11:33,0.8653846153846154,30,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_small_hrm_bptt_1_20251205_093242,radioml2018_small_hrm_bptt_1,iq_grid,hrm_rf,bptt,16,,,,42,,,,4,0.2614577048354679,0.8913308913308914,0.327007874919147,0.8646341463414634,radioml2018_small_hrm_bptt_1_20251205_093242,2025-12-05 09:32:42,2025-12-05,09:32:42,0.8646341463414634,30,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,
results/radioml2018_iqgrid_hrm_bptt_small_1_20251204_164330,radioml2018_iqgrid_hrm_bptt_small_1,iq_grid,hrm_rf,dcll,16,,,,42,,,,2,0.28793293316054397,0.8298271975957926,0.6089646922794446,0.8214419827262486,radioml2018_iqgrid_hrm_bptt_small_1_20251204_164330,2025-12-04 16:43:30,2025-12-04,16:43:30,1.0,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",-20,30,26,1.0,0.9095238095238095,0.6264367816091954,1.0,1.0,1.0,1.0,1.0,0.5260115606936416,0.5136363636363637,1.0,1.0,1.0,1.0,0.48717948717948717,0.4433497536945813,0.5130890052356021,0.7853881278538812,1.0,1.0,1.0,0.52,1.0,0.4652173913043478,0.4803921568627451
